v+,f(v)+,v-,f(v)-
1,1.0052029136316268199791883454892296741040454360633E-36,-1,1.0052029136316406097814776274871485074971615436301E-36
0.1,1.0052029136316330253902185223726862451908906792030E-38,-0.1,1.0052029136316344043704474505724781466288610495479E-38
0.01,1.0052029136316336459313215400624368822226823207661E-40,-0.01,1.0052029136316337838293444328824157492284832632267E-40
0.001,1.0052029136316337079854318418314234193846848724590E-42,-0.001,1.0052029136316337217752341311134235849042396927629E-42
0.0001,1.0052029136316337141908428720083183911472040550505E-44,-0.0001,1.0052029136316337155698231009365270540219575330562E-44
0.00001,1.0052029136316337148113839750260291419747003974192E-46,-0.00001,1.0052029136316337149492819979188456118268547303171E-46
0.000001,1.0052029136316337148734380853285769206729679263143E-48,-0.000001,1.0052029136316337148872278876168107505733414744690E-48
1E-7,1.0052029136316337148796434963844775712491363307006E-50,-1E-7,1.0052029136316337148810224765865559727029996943050E-50
1E-8,1.0052029136316337148802640374761455911235435265601E-52,-1E-8,1.0052029136316337148804019354802331684252085531494E-52
1E-9,1.0052029136316337148803260924279624963055072990457E-54,-1E-9,1.0052029136316337148803398811146076393785651266117E-54
1E-10,1.0052029136316337148803322840743729256267602824686E-56,-1E-10,1.0052029136316337148803336762788912470126041485742E-56
1E-11,1.0052029136316337148803330168135930947772044225237E-58,-1E-11,1.0052029136316337148803330900875151116922488365293E-58
1E-12,1.0052029136316337148803330168135930947772044225237E-60,-1E-12,1.0052029136316337148803330168135930947772044225237E-60
1E-13,1.0052029136316337148803037072447863287594388211530E-62,-1E-13,1.0052029136316337148803330168135930947772044225237E-62
1E-14,1.0052029136316337148803769811668032438038528277845E-64,-1E-14,1.0052029136316337148803037072447863287594388211530E-64
1E-15,1.0052029136316337148781787635062957924714372757521E-66,-1E-15,1.0052029136316337148803769811668032438038528277845E-66
1E-16,1.0052029136316337149074883323130618102377684785783E-68,-1E-16,1.0052029136316337148781787635062957924714372757521E-68
1E-17,1.0052029136316337146876665662623166770319464214341E-70,-1E-17,1.0052029136316337149074883323130618102377684785783E-70
1E-18,1.0052029136316337139549273460931662337069056318151E-72,-1E-18,1.0052029136316337146876665662623166770319464214341E-72
1E-19,1.0052029136316336919727507410186534306944840980620E-74,-1E-19,1.0052029136316337139549273460931662337069056318151E-74
1E-20,1.0052029136316334721509846902735782792169497569952E-76,-1E-20,1.0052029136316336919727507410186534306944840980620E-76
1E-21,1.0052029136316334721509846902735782792169497569952E-78,-1E-21,1.0052029136316334721509846902735782792169497569952E-78
1E-22,1.0052029136316481269353880734890347089547230585380E-80,-1E-22,1.0052029136316334721509846902735782792169497569952E-80
1E-23,1.0052029136312817573253036212932825860648374753963E-82,-1E-23,1.0052029136316481269353880734890347089547230585380E-82
1E-24,1.0052029136342127142059867166477191207138582482082E-84,-1E-24,1.0052029136312817573253036212932825860648374753963E-84
1E-25,1.0052029136342127142059867166477191207138582482082E-86,-1E-25,1.0052029136342127142059867166477191207138582482082E-86
1E-26,1.0052029137074866362286190290492898632948473376431E-88,-1E-26,1.0052029136342127142059867166477191207138582482082E-88
1E-27,1.0052029137074866362286190290492898632948473376431E-90,-1E-27,1.0052029137074866362286190290492898632948473376431E-90
1E-28,1.0052028770705269575611363712846996136514347475973E-92,-1E-28,1.0052029137074866362286190290492898632948473376431E-92
1E-29,1.0052026572488249689530469118196504896555517672341E-94,-1E-29,1.0052028770705269575611363712846996136514347475973E-94
1E-30,1.0052048554701712968592946222966270021872383827689E-96,-1E-30,1.0052026572488249689530469118196504896555517672341E-96
1E-31,1.0052341660068521591219235563867945667593972175373E-98,-1E-31,1.0052048554701712968592946222966270021872383827689E-98
1E-32,1.0050876304141397900025180281715778328575372470974E-100,-1E-32,1.0052341660068521591219235563867945667593972175373E-100
1E-33,1.0065549116264232057543465216433611581609789073122E-102,-1E-33,1.0050876304141397900025180281715778328575372470974E-102
1E-34,9.849858778058569942024676676081462762003865021555E-105,-1E-34,1.0065549116264232057543465216433611581609789073122E-104
1E-35,1.3789802289281997918834547346514047866805411030177E-106,-1E-35,9.849858778058569942024676676081462762003865021555E-107
